School ID,School Name,Street Address,City,State,ZIP Code,Phone Number,School State ID,School Level,Lowest Grade,Highest Grade,Latitude,Longitude,School Website,Cluster,Principal Name,Mapped Location
496,A. Z. Kelley Elementary,5834 Pettus Road,Antioch,TN,37013,(615)941-7535,1,Elementary School,Grade P3,Grade 4,36.0218171181,-86.6588477794,http://schools.mnps.org/az-kelley-elementary-school,Cane Ridge,Ms. Heather Bethurum,"(36.0218171181, -86.6588477794)"
375,Alex Green Elementary,3921 Lloyd Road,Whites Creek,TN,37189,(615)876-5105,5,Elementary School,Grade P4,Grade 4,36.2529606982,-86.8322291988,http://schools.mnps.org/alex-green-elementary-school,Whites Creek,Ms Robyn Beard,"(36.2529606982, -86.8322291988)"
105,Amqui Elementary,319 Anderson Lane,Madison,TN,37115,(615)612-3678,10,Elementary School,Grade P3,Grade 4,36.2737658523,-86.7038315283,http://schools.mnps.org/amqui-elementary-school,Hunters Lane,Ms. LaToya Cobb,"(36.2737658523, -86.7038315283)"
460,Andrew Jackson Elementary,110 Shute Ln,Old Hickory,TN,37138,(615)847-7317,15,Elementary School,Grade P3,Grade 4,36.2315846536,-86.6237746868,http://schools.mnps.org/andrew-jackson-elementary-school,McGavock,Ms. Tara  Loba,"(36.2315846536, -86.6237746868)"
110,Antioch High School,1900 Hobson Pike,Antioch,TN,37013,(615)641-5400,20,High School,Grade 9,Grade 12,36.0466746426,-86.5994183274,http://schools.mnps.org/antioch-high-school,Antioch,Ms. Clarissa Zellars,"(36.0466746426, -86.5994183274)"
111,Antioch Middle,5050 Blue Hole Road,Antioch,TN,37013,(615)333-5642,23,Middle School,Grade 5,Grade 8,36.0553789673,-86.6718298856,http://schools.mnps.org/antioch-middle-prep,Cane Ridge,Ms. Celia  Conley,"(36.0553789673, -86.6718298856)"
577,Apollo Middle,631 Richards Rd,Antioch,TN,37013,(615)333-5025,25,Middle School,Grade 5,Grade 8,36.0668779764,-86.6640697109,http://schools.mnps.org/apollo-middle-prep,Antioch,Ms. Stephanie Adams,"(36.0668779764, -86.6640697109)"
130,Bellevue Middle,655 Colice Jeanne Road,Nashville,TN,37221,(615)662-3000,40,Middle School,Grade 5,Grade 8,36.0707487921,-86.9348203609,http://schools.mnps.org/bellevue-middle-prep,Hillwood,Mr. Mark  Pittman,"(36.0707487921, -86.9348203609)"
135,Bellshire Elementary,1128 Bell Grimes Lane,Nashville,TN,37207,(615)860-1452,45,Elementary School,Grade P3,Grade 4,36.2696876639,-86.7623002629,http://schools.mnps.org/bellshire-design-center,Hunters Lane,Dr. Donald Black,"(36.2696876639, -86.7623002629)"
118,Brick Church College Prep,2835 Brick Church Pike,Nashville,TN,37207,(615)806-6317,118,Charter,Grade 5,Grade 8,36.2207385771,-86.7817524484,http://www.brickchurchcollegeprep.org/,Whites Creek,Mr. Dennis  Wolff,"(36.2207385771, -86.7817524484)"
