School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,,,66,89,78,73,88,,,,,,,,,1,,265,102,,26,210,184,287,53,67,36.2136492726,-86.7654223968,"(36.2136492726, -86.7654223968)"
17-18,Elementary School,105,Amqui Elementary,10,37115,3,28,91,90,92,102,97,,,,,,,,,,3,222,192,1,85,267,236,310,59,139,36.2737658523,-86.7038315283,"(36.2737658523, -86.7038315283)"
17-18,Elementary School,265,Dupont Elementary,180,37138,,37,76,63,75,58,81,,,,,,,,,1,7,99,35,,248,186,204,196,49,18,36.2613820968,-86.652625791,"(36.2613820968, -86.652625791)"
17-18,Elementary School,790,John B. Whitsitt Elementary,390,37210,,39,79,79,73,76,90,,,,,,,,,4,14,61,301,,56,205,231,246,47,222,36.1150448454,-86.7356845538,"(36.1150448454, -86.7356845538)"
17-18,Charter,712,Strive Collegiate Academy,8090,37214,,,,,,,,84,75,87,,,,,,1,8,97,51,,89,132,114,78,32,46,36.1788359554,-86.6432213808,"(36.1788359554, -86.6432213808)"
17-18,Elementary School,552,Henry C Maxwell Elementary,318,37013,5,47,103,129,114,123,128,,,,,,,,,2,43,137,286,,180,356,293,271,70,272,36.0308340173,-86.673952123,"(36.0308340173, -86.673952123)"
17-18,Middle School,730,Two Rivers Middle,650,37214,,,,,,,,109,97,106,110,,,,,2,12,192,90,,126,202,220,228,55,88,36.194467241,-86.6739737732,"(36.194467241, -86.6739737732)"
17-18,Elementary School,650,Percy Priest Elementary,570,37215,,1,112,99,109,95,117,,,,,,,,,2,25,20,21,2,463,258,275,9,26,8,36.0615871471,-86.8336952185,"(36.0615871471, -86.8336952185)"
17-18,Middle School,675,Rose Park Middle,595,37203,,,,,,,,120,119,101,91,,,,,,9,239,36,3,144,235,196,85,23,46,36.1424058913,-86.7813145165,"(36.1424058913, -86.7813145165)"
17-18,Elementary School,590,Napier Elementary,510,37210,14,64,51,49,58,43,55,,,,,,,,,1,,302,24,,7,178,156,306,52,16,36.1500211684,-86.7563991118,"(36.1500211684, -86.7563991118)"
